order_id,order_date,customer_id,category,unit_price,quantity,discount_pct,total_revenue,is_return,return_reason,payment_method,city,country
ORD-103775,2023-01-01,CUST-1439,Electronics,332.94,3,0.0,998.83,0,,Crypto,Manchester,UK
ORD-105776,2023-01-01,CUST-1402,Home,580.53,3,0.2,1393.28,0,,Credit Card,Toronto,Canada
ORD-106972,2023-01-01,CUST-1328,Books,176.81,1,0.2,141.45,0,,Credit Card,Los Angeles,USA
ORD-100823,2023-01-01,CUST-1813,Beauty,79.96,3,0.0,239.89,0,,PayPal,Los Angeles,USA
ORD-106571,2023-01-01,CUST-1981,Books,708.59,4,0.0,2834.35,0,,Crypto,Sydney,Australia
ORD-106033,2023-01-01,CUST-1802,Beauty,248.69,1,0.1,223.82,0,,Debit Card,Phoenix,USA
ORD-103477,2023-01-02,CUST-1341,Electronics,743.46,2,0.2,1189.53,0,,Crypto,New York,USA
ORD-102486,2023-01-02,CUST-0122,Home,86.31,2,0.1,155.35,0,,Credit Card,Vancouver,Canada
ORD-100781,2023-01-02,CUST-1909,Home,267.85,4,0.05,1017.84,0,,Bank Transfer,Phoenix,USA
ORD-102788,2023-01-02,CUST-0140,Electronics,401.91,3,0.0,1205.72,0,,Bank Transfer,Manchester,UK
ORD-102383,2023-01-02,CUST-1746,Home,36.75,2,0.0,73.51,0,,Credit Card,Sydney,Australia
ORD-104719,2023-01-02,CUST-0617,Fashion,503.95,5,0.1,2267.77,0,,Crypto,New York,USA
ORD-101529,2023-01-03,CUST-0889,Books,337.36,5,0.1,1518.1,0,,Crypto,Los Angeles,USA
ORD-107487,2023-01-03,CUST-0898,Beauty,798.91,4,0.0,3195.65,0,,Bank Transfer,Manchester,UK
ORD-100026,2023-01-03,CUST-1546,Fashion,751.35,4,0.15,2554.59,0,,PayPal,Vancouver,Canada
ORD-104146,2023-01-03,CUST-0385,Electronics,382.49,1,0.1,344.24,0,,Bank Transfer,Vancouver,Canada
ORD-106554,2023-01-03,CUST-1659,Electronics,291.64,4,0.15,991.58,0,,Credit Card,Vancouver,Canada
ORD-102827,2023-01-03,CUST-0812,Fashion,469.64,2,0.0,939.28,0,,Debit Card,Manchester,UK
ORD-102740,2023-01-03,CUST-0787,Toys,653.9,3,0.0,1961.71,0,,PayPal,Manchester,UK
ORD-106576,2023-01-03,CUST-0726,Toys,37.72,3,0.0,113.15,0,,Bank Transfer,Vancouver,Canada
ORD-100862,2023-01-03,CUST-0782,Fashion,676.97,1,0.2,541.57,0,,Debit Card,Houston,USA
ORD-102174,2023-01-04,CUST-1497,Toys,47.43,2,0.05,90.12,0,,Credit Card,Houston,USA
ORD-102032,2023-01-04,CUST-1905,Home,628.69,2,0.1,1131.64,0,,Credit Card,Manchester,UK
ORD-100627,2023-01-04,CUST-0959,Beauty,26.86,5,0.0,134.32,0,,Debit Card,Chicago,USA
ORD-107576,2023-01-04,CUST-1203,Home,237.18,2,0.0,474.37,0,,Bank Transfer,Houston,USA
ORD-100859,2023-01-04,CUST-1008,Home,449.64,1,0.1,404.67,0,,PayPal,Manchester,UK
ORD-102324,2023-01-04,CUST-0197,Electronics,689.71,2,0.0,1379.42,1,,Debit Card,Houston,USA
ORD-107556,2023-01-04,CUST-1413,Beauty,130.93,4,0.0,523.7,0,,Debit Card,Phoenix,USA
ORD-107101,2023-01-04,CUST-1762,Fashion,516.12,5,0.0,2580.61,0,,Credit Card,Phoenix,USA
ORD-106719,2023-01-05,CUST-1755,Fashion,740.7,5,0.1,3333.17,0,,Debit Card,Sydney,Australia
ORD-101355,2023-01-05,CUST-1194,Home,354.06,4,0.0,1416.22,0,,Bank Transfer,Toronto,Canada
ORD-106274,2023-01-05,CUST-0423,Books,274.99,3,0.1,742.47,0,,Bank Transfer,New York,USA
ORD-101997,2023-01-05,CUST-0369,Electronics,438.8,3,0.0,1316.39,1,Wrong size,Bank Transfer,Chicago,USA
ORD-102264,2023-01-05,CUST-1518,Fashion,515.53,5,0.05,2448.77,0,,Bank Transfer,Manchester,UK
ORD-101488,2023-01-05,CUST-1364,Fashion,321.18,5,0.1,1445.31,0,,Bank Transfer,Manchester,UK
ORD-105235,2023-01-05,CUST-1597,Fashion,363.38,1,0.0,363.38,0,,Bank Transfer,Manchester,UK
ORD-104327,2023-01-05,CUST-1786,Beauty,321.45,2,0.1,578.61,1,Changed mind,Crypto,Los Angeles,USA
ORD-102526,2023-01-05,CUST-0700,Electronics,199.3,2,0.0,398.6,0,,Bank Transfer,Houston,USA
ORD-104205,2023-01-05,CUST-1650,Books,543.13,2,0.0,1086.26,0,,PayPal,Toronto,Canada
ORD-105109,2023-01-05,CUST-0725,Toys,367.3,3,0.0,1101.91,0,,Bank Transfer,London,UK
ORD-106275,2023-01-05,CUST-0544,Beauty,428.46,3,0.0,1285.39,0,,Crypto,Chicago,USA
ORD-105004,2023-01-06,CUST-1036,Home,123.14,2,0.1,221.65,0,,Bank Transfer,Sydney,Australia
ORD-104573,2023-01-06,CUST-1147,Toys,528.08,2,0.0,1056.16,0,,Credit Card,Los Angeles,USA
ORD-106189,2023-01-06,CUST-0907,Beauty,357.11,3,0.2,857.07,0,,Bank Transfer,Chicago,USA
ORD-101273,2023-01-06,CUST-0784,Home,383.08,3,0.2,919.4,0,,Bank Transfer,London,UK
ORD-105520,2023-01-06,CUST-0605,Toys,582.14,4,0.0,2328.55,0,,Debit Card,Chicago,USA
ORD-100435,2023-01-06,CUST-1283,Books,528.18,2,0.05,1003.54,0,,Credit Card,Sydney,Australia
ORD-103363,2023-01-06,CUST-1136,Fashion,530.34,4,0.15,1803.17,0,,Crypto,Toronto,Canada
ORD-101181,2023-01-06,CUST-0431,Electronics,733.26,5,0.0,3666.3,0,,Credit Card,London,UK
ORD-103694,2023-01-06,CUST-1770,Fashion,722.94,5,0.05,3433.95,0,,Credit Card,Toronto,Canada
ORD-107437,2023-01-06,CUST-1715,Fashion,329.09,3,0.0,987.27,0,,Credit Card,Chicago,USA
ORD-106885,2023-01-06,CUST-0494,Books,545.02,2,0.2,872.03,0,,Bank Transfer,London,UK
ORD-103238,2023-01-06,CUST-1503,Fashion,763.51,5,0.05,3626.68,1,Wrong size,Bank Transfer,Houston,USA
ORD-103247,2023-01-06,CUST-1506,Electronics,568.7,3,0.0,1706.11,0,,Debit Card,Toronto,Canada
ORD-107632,2023-01-06,CUST-1937,Fashion,42.47,1,0.05,40.35,0,,Crypto,Houston,USA
ORD-102000,2023-01-06,CUST-1161,Home,633.0,5,0.0,3165.0,0,,Crypto,Chicago,USA
ORD-104627,2023-01-06,CUST-1647,Fashion,114.45,1,0.0,114.45,0,,Credit Card,Manchester,UK
ORD-102547,2023-01-07,CUST-1420,Home,100.2,5,0.15,425.87,0,,Bank Transfer,Vancouver,Canada
ORD-103434,2023-01-07,CUST-0476,Home,203.83,1,0.05,193.64,0,,PayPal,Chicago,USA
ORD-103873,2023-01-07,CUST-1744,Fashion,48.37,1,0.0,48.37,1,,Crypto,London,UK
ORD-102610,2023-01-07,CUST-1673,Home,42.66,3,0.0,127.97,0,,PayPal,New York,USA
ORD-106583,2023-01-07,CUST-1800,Home,266.9,4,0.05,1014.22,0,,PayPal,Chicago,USA
ORD-101664,2023-01-08,CUST-0741,Beauty,677.22,3,0.15,1726.9,0,,Crypto,Chicago,USA
ORD-105761,2023-01-08,CUST-0517,Fashion,470.84,4,0.0,1883.34,0,,Debit Card,New York,USA
ORD-107511,2023-01-08,CUST-0108,Fashion,96.34,3,0.05,274.57,0,,Crypto,Phoenix,USA
ORD-104012,2023-01-08,CUST-1653,Home,616.03,5,0.2,2464.14,0,,Debit Card,Toronto,Canada
ORD-107453,2023-01-08,CUST-1553,Electronics,128.62,4,0.0,514.48,0,,Bank Transfer,New York,USA
ORD-107379,2023-01-08,CUST-0041,Books,551.25,4,0.05,2094.74,0,,Bank Transfer,New York,USA
ORD-106564,2023-01-08,CUST-0412,Toys,684.68,2,0.0,1369.36,0,,Bank Transfer,Houston,USA
ORD-102406,2023-01-08,CUST-1766,Home,28.61,1,0.2,22.89,0,,Bank Transfer,Chicago,USA
ORD-104490,2023-01-08,CUST-1874,Books,366.33,1,0.15,311.38,0,,PayPal,Toronto,Canada
ORD-100582,2023-01-08,CUST-1159,Fashion,762.81,3,0.2,1830.75,0,,Bank Transfer,Sydney,Australia
ORD-102699,2023-01-08,CUST-1488,Toys,692.56,3,0.05,1973.8,0,,Crypto,Vancouver,Canada
ORD-103681,2023-01-08,CUST-0723,Fashion,382.42,3,0.0,1147.25,0,,Crypto,Manchester,UK
ORD-100046,2023-01-08,CUST-0314,Beauty,232.74,2,0.0,465.48,0,,Crypto,Sydney,Australia
ORD-100045,2023-01-08,CUST-1717,Books,790.07,2,0.0,1580.14,0,,Credit Card,Manchester,UK
ORD-106766,2023-01-08,CUST-0826,Toys,752.66,3,0.15,1919.28,0,,Debit Card,Chicago,USA
ORD-107325,2023-01-08,CUST-0900,Books,378.77,5,0.0,11978.53,0,,Crypto,Chicago,USA
ORD-107815,2023-01-08,CUST-0993,Electronics,342.73,1,0.0,342.73,0,,Crypto,New York,USA
ORD-106720,2023-01-08,CUST-1649,Beauty,305.42,1,0.0,305.42,0,,Credit Card,Phoenix,USA
ORD-105896,2023-01-08,CUST-1782,Books,547.89,2,0.0,1095.78,0,,Crypto,Los Angeles,USA
ORD-105094,2023-01-08,CUST-0465,Home,550.24,5,0.15,2338.53,0,,Debit Card,Phoenix,USA
ORD-104177,2023-01-09,CUST-0808,Electronics,295.37,5,0.15,1255.32,0,,Bank Transfer,Sydney,Australia
ORD-103658,2023-01-09,CUST-1509,Books,403.16,3,0.0,1209.48,0,,Bank Transfer,Los Angeles,USA
ORD-105820,2023-01-09,CUST-0194,Books,225.68,3,0.2,541.63,0,,Debit Card,Vancouver,Canada
ORD-102929,2023-01-09,CUST-0964,Beauty,789.64,3,0.05,2250.47,0,,Debit Card,Houston,USA
ORD-100168,2023-01-09,CUST-0595,Beauty,586.58,4,0.15,1994.38,0,,Credit Card,Manchester,UK
ORD-105804,2023-01-10,CUST-1074,Beauty,164.85,2,0.0,329.69,0,,Credit Card,New York,USA
ORD-107609,2023-01-10,CUST-1293,Home,473.16,1,0.2,378.53,0,,Credit Card,Sydney,Australia
ORD-100738,2023-01-10,CUST-0746,Electronics,45.31,1,0.0,45.31,0,,Crypto,Vancouver,Canada
ORD-102488,2023-01-10,CUST-1597,Fashion,484.64,5,0.15,2059.73,0,,Bank Transfer,Sydney,Australia
ORD-107151,2023-01-10,CUST-1549,Toys,82.58,2,0.0,165.16,0,,Debit Card,Vancouver,Canada
ORD-102856,2023-01-11,CUST-0008,Books,503.57,1,0.15,428.03,0,,Bank Transfer,Sydney,Australia
ORD-102212,2023-01-11,CUST-0574,Books,722.08,5,0.05,3429.86,0,,Credit Card,London,UK
ORD-103591,2023-01-11,CUST-0989,Home,778.58,2,0.0,1557.15,0,,Credit Card,Chicago,USA
ORD-102088,2023-01-11,CUST-1223,Home,769.49,3,0.1,2077.62,0,,PayPal,Toronto,Canada
ORD-100504,2023-01-11,CUST-1144,Books,336.98,4,0.0,1347.92,0,,Bank Transfer,Sydney,Australia
ORD-102778,2023-01-11,CUST-1852,Toys,535.52,2,0.15,910.38,0,,Debit Card,Los Angeles,USA
ORD-101416,2023-01-11,CUST-0078,Beauty,333.24,4,0.0,1332.95,1,Defective,Debit Card,Houston,USA
ORD-101089,2023-01-11,CUST-0044,Fashion,426.12,3,0.2,1022.69,0,,PayPal,London,UK
ORD-105021,2023-01-11,CUST-1201,Fashion,266.51,5,0.15,1132.66,0,,PayPal,Chicago,USA
ORD-103634,2023-01-11,CUST-1277,Home,14.38,5,0.0,71.89,0,,Bank Transfer,Los Angeles,USA
ORD-104964,2023-01-11,CUST-0479,Books,132.9,1,0.05,126.25,0,,Crypto,Phoenix,USA
ORD-102225,2023-01-11,CUST-1736,Toys,570.22,5,0.1,2565.97,0,,Bank Transfer,New York,USA
ORD-103076,2023-01-11,CUST-0052,Books,157.93,3,0.0,473.8,0,,PayPal,Chicago,USA
ORD-101626,2023-01-11,CUST-1443,Home,378.09,3,0.0,1134.28,0,,Debit Card,New York,USA
ORD-104208,2023-01-11,CUST-0903,Toys,356.53,1,0.15,303.05,0,,Bank Transfer,Vancouver,Canada
ORD-106770,2023-01-12,CUST-1786,Books,797.1,1,0.15,677.54,0,,PayPal,Los Angeles,USA
ORD-107898,2023-01-12,CUST-1134,Beauty,771.52,4,0.15,2623.16,0,,Debit Card,Chicago,USA
ORD-101609,2023-01-12,CUST-0062,Toys,450.05,2,0.0,900.11,0,,Crypto,New York,USA
ORD-100491,2023-01-12,CUST-1926,Fashion,356.33,3,0.15,908.65,0,,Credit Card,Los Angeles,USA
ORD-105540,2023-01-12,CUST-1688,Fashion,20.37,1,0.05,19.35,0,,Crypto,Toronto,Canada
ORD-107668,2023-01-12,CUST-1578,Home,358.76,5,0.0,1793.78,0,,Credit Card,London,UK
ORD-104602,2023-01-12,CUST-1065,Books,489.94,2,0.0,979.87,0,,Bank Transfer,Manchester,UK
ORD-103568,2023-01-12,CUST-0252,Home,445.61,1,0.0,445.61,0,,PayPal,Vancouver,Canada
ORD-101988,2023-01-12,CUST-1587,Fashion,714.31,4,0.05,2714.38,0,,PayPal,New York,USA
ORD-104459,2023-01-12,CUST-1548,Electronics,509.25,4,0.0,2037.0,0,,Bank Transfer,Manchester,UK
ORD-105813,2023-01-12,CUST-1648,Electronics,690.75,1,0.1,621.68,0,,Crypto,Manchester,UK
ORD-106914,2023-01-12,CUST-1690,Toys,390.8,2,0.05,742.52,0,,Bank Transfer,Houston,USA
ORD-106737,2023-01-12,CUST-0093,Home,738.42,1,0.0,738.42,0,,Credit Card,New York,USA
ORD-101938,2023-01-12,CUST-0249,Beauty,398.45,3,0.05,1135.57,0,,Debit Card,Toronto,Canada
ORD-101029,2023-01-12,CUST-0706,Home,15.98,5,0.05,75.91,0,,Bank Transfer,Sydney,Australia
ORD-105639,2023-01-13,CUST-1207,Toys,474.19,5,0.1,2133.86,0,,Crypto,Vancouver,Canada
ORD-107537,2023-01-13,CUST-1573,Home,253.31,5,0.1,1139.91,0,,Crypto,Houston,USA
ORD-103266,2023-01-13,CUST-1668,Books,443.85,1,0.0,443.85,0,,Debit Card,Houston,USA
ORD-104865,2023-01-13,CUST-0819,Beauty,701.47,3,0.0,2104.42,0,,Debit Card,New York,USA
ORD-100628,2023-01-13,CUST-0434,Books,541.88,5,0.15,2302.99,1,Wrong size,Bank Transfer,Vancouver,Canada
ORD-103962,2023-01-13,CUST-0802,Books,723.55,4,0.0,2894.19,0,,Debit Card,Los Angeles,USA
ORD-100647,2023-01-14,CUST-0891,Books,355.55,1,0.05,337.78,0,,Crypto,Vancouver,Canada
ORD-107702,2023-01-14,CUST-1001,Beauty,383.7,5,0.15,1630.74,0,,Crypto,Sydney,Australia
ORD-102525,2023-01-14,CUST-1563,Fashion,186.08,4,0.15,632.68,0,,Debit Card,Manchester,UK
ORD-102653,2023-01-14,CUST-1359,Books,644.15,4,0.15,2190.12,0,,Bank Transfer,Chicago,USA
ORD-105437,2023-01-14,CUST-0318,Books,179.98,4,0.0,719.93,0,,Crypto,London,UK
ORD-106727,2023-01-14,CUST-0723,Home,228.49,1,0.2,182.79,0,,Debit Card,Vancouver,Canada
ORD-102585,2023-01-14,CUST-0212,Home,352.5,2,0.0,705.0,0,,Debit Card,London,UK
ORD-107074,2023-01-14,CUST-0387,Home,440.19,3,0.1,1188.52,0,,Credit Card,Vancouver,Canada
ORD-102770,2023-01-14,CUST-0115,Books,599.79,4,0.0,2399.16,0,,Crypto,New York,USA
ORD-106626,2023-01-14,CUST-1511,Books,534.37,1,0.0,534.37,0,,PayPal,London,UK
ORD-102641,2023-01-14,CUST-0495,Electronics,377.49,5,0.05,1793.08,1,Changed mind,Bank Transfer,Toronto,Canada
ORD-100525,2023-01-14,CUST-0543,Beauty,219.84,4,0.2,703.49,0,,Credit Card,New York,USA
ORD-106741,2023-01-14,CUST-1859,Fashion,443.08,4,0.0,1772.3,0,,Bank Transfer,Los Angeles,USA
ORD-107415,2023-01-15,CUST-0931,Electronics,389.43,3,0.0,1168.29,0,,Credit Card,Vancouver,Canada
ORD-100391,2023-01-15,CUST-0451,Books,368.74,3,0.1,995.59,0,,Credit Card,Sydney,Australia
ORD-106628,2023-01-15,CUST-1757,Beauty,527.34,3,0.1,1423.82,0,,Bank Transfer,Toronto,Canada
ORD-102631,2023-01-15,CUST-0402,Home,183.26,5,0.0,916.28,0,,Credit Card,Los Angeles,USA
ORD-101950,2023-01-15,CUST-1009,Fashion,246.81,3,0.15,629.36,0,,Bank Transfer,Toronto,Canada
ORD-100865,2023-01-15,CUST-1433,Fashion,294.17,1,0.0,294.17,0,,Debit Card,Toronto,Canada
ORD-100575,2023-01-15,CUST-1756,Electronics,468.82,1,0.1,421.94,0,,Credit Card,Sydney,Australia
ORD-103064,2023-01-15,CUST-1537,Beauty,550.9,4,0.1,1983.26,0,,Credit Card,New York,USA
ORD-104927,2023-01-15,CUST-0480,Toys,367.26,2,0.2,587.61,0,,PayPal,Manchester,UK
ORD-105565,2023-01-15,CUST-1203,Fashion,406.89,2,0.2,651.03,0,,Crypto,Chicago,USA
ORD-103728,2023-01-15,CUST-1094,Toys,768.89,2,0.1,1384.01,0,,Bank Transfer,Toronto,Canada
ORD-106834,2023-01-16,CUST-0706,Electronics,125.55,5,0.0,627.75,0,,Bank Transfer,Chicago,USA
ORD-104584,2023-01-16,CUST-0087,Electronics,441.91,2,0.0,883.81,1,,Bank Transfer,Houston,USA
ORD-102317,2023-01-16,CUST-1700,Home,399.7,2,0.0,799.4,0,,Credit Card,Manchester,UK
ORD-106861,2023-01-16,CUST-1119,Home,659.54,2,0.0,1319.08,0,,PayPal,Manchester,UK
ORD-105674,2023-01-16,CUST-0768,Books,607.79,5,0.0,3038.94,0,,Credit Card,Manchester,UK
ORD-107931,2023-01-16,CUST-0823,Home,352.41,1,0.0,352.41,0,,Credit Card,Vancouver,Canada
ORD-103246,2023-01-16,CUST-1793,Home,471.3,5,0.1,2120.84,0,,Bank Transfer,Toronto,Canada
ORD-107265,2023-01-16,CUST-0337,Electronics,787.95,3,0.0,2363.86,0,,PayPal,Manchester,UK
ORD-107841,2023-01-16,CUST-1776,Beauty,792.65,5,0.1,3566.91,0,,PayPal,New York,USA
ORD-101426,2023-01-17,CUST-0928,Home,459.65,1,0.1,413.69,0,,Credit Card,Houston,USA
ORD-107604,2023-01-17,CUST-1122,Electronics,651.19,2,0.2,1041.9,1,Changed mind,Credit Card,London,UK
ORD-100268,2023-01-17,CUST-0308,Toys,715.01,5,0.15,3038.8,0,,Crypto,Sydney,Australia
ORD-102514,2023-01-17,CUST-1973,Toys,587.94,5,0.0,2939.68,0,,PayPal,Sydney,Australia
ORD-102521,2023-01-17,CUST-0220,Electronics,778.86,3,0.0,2336.59,0,,Debit Card,New York,USA
ORD-105314,2023-01-17,CUST-1821,Electronics,177.93,2,0.2,284.68,0,,PayPal,Houston,USA
ORD-105940,2023-01-17,CUST-1974,Toys,75.72,4,0.0,302.87,0,,Credit Card,Phoenix,USA
ORD-105638,2023-01-17,CUST-0395,Home,102.64,1,0.0,102.64,0,,Bank Transfer,Los Angeles,USA
ORD-104807,2023-01-17,CUST-1098,Books,273.0,5,0.05,1296.73,0,,PayPal,Sydney,Australia
ORD-106221,2023-01-17,CUST-1606,Electronics,178.73,5,0.0,893.66,0,,Crypto,Manchester,UK
ORD-104045,2023-01-17,CUST-0310,Toys,663.17,1,0.1,596.86,0,,Bank Transfer,Manchester,UK
ORD-107820,2023-01-17,CUST-1872,Home,123.79,3,0.2,297.1,0,,Credit Card,Houston,USA
ORD-104981,2023-01-17,CUST-1462,Fashion,17.15,4,0.15,58.32,0,,Debit Card,Houston,USA
ORD-107098,2023-01-18,CUST-1404,Home,780.4,5,0.2,3121.62,0,,Crypto,New York,USA
ORD-103953,2023-01-18,CUST-1964,Toys,374.91,4,0.0,1499.65,0,,Crypto,Houston,USA
ORD-103725,2023-01-18,CUST-0392,Home,453.83,2,0.0,907.65,0,,Crypto,Los Angeles,USA
ORD-100854,2023-01-18,CUST-1248,Electronics,364.33,1,0.1,327.89,0,,Crypto,New York,USA
