employee_id,age,gender,department,job_role,education,years_at_company,monthly_salary,performance_rating,satisfaction_score,work_life_balance,overtime,attrition,last_promotion_years_ago
EMP-1000,50,Male,Finance,Accountant,Master's,10,120216,4,1.8,1,0,0,2
EMP-1001,48,Female,Operations,Logistics Coordinator,Bachelor's,13,75292,5,2.0,1,0,0,6
EMP-1002,27,Female,Sales,Sales Rep,Bachelor's,6,80452,5,1.2,3,1,0,2
EMP-1003,29,Female,Sales,Sales Manager,Bachelor's,2,73840,5,2.9,1,0,1,1
EMP-1004,33,Female,Engineering,DevOps,Master's,4,131998,2,2.4,4,0,0,4
EMP-1005,44,Male,Marketing,Marketing Analyst,Master's,5,66065,5,2.0,4,1,0,3
EMP-1006,35,Male,HR,HR Coordinator,Bachelor's,7,88659,4,1.4,2,0,0,5
EMP-1007,50,Male,Finance,Accountant,Bachelor's,15,110104,3,2.1,2,0,0,2
EMP-1008,27,Male,Finance,CFO,Bachelor's,6,64010,5,1.9,1,0,1,3
EMP-1009,45,Female,Finance,Accountant,High School,19,119528,5,2.3,2,0,0,5
EMP-1010,36,Male,HR,HR Coordinator,Bachelor's,7,57083,1,4.5,1,0,0,6
EMP-1011,51,Male,Engineering,Software Engineer,Bachelor's,16,136074,2,4.4,3,1,0,14
EMP-1012,26,Female,Operations,Operations Manager,Bachelor's,0,57245,2,3.0,1,0,0,0
EMP-1013,59,Female,Marketing,Content Strategist,Master's,1,56178,3,2.2,2,0,0,1
EMP-1014,40,Male,Sales,Account Manager,Master's,9,65409,4,3.5,5,1,0,6
EMP-1015,35,Female,Marketing,Marketing Analyst,Bachelor's,9,80292,5,2.5,1,0,0,9
EMP-1016,56,Male,Sales,Sales Rep,Master's,6,56346,2,3.8,5,1,0,1
EMP-1017,36,Male,Marketing,Marketing Analyst,Bachelor's,0,75948,1,4.2,1,0,0,0
EMP-1018,32,Male,Marketing,SEO Specialist,Bachelor's,5,91179,4,2.9,3,0,0,3
EMP-1019,49,Male,Sales,Sales Rep,Master's,11,94223,2,4.9,5,0,0,3
EMP-1020,48,Male,Sales,Sales Rep,Bachelor's,17,95148,5,2.6,1,0,1,12
EMP-1021,47,Male,Operations,Operations Manager,High School,19,87003,2,2.3,4,1,0,3
EMP-1022,43,Male,Sales,Sales Rep,Bachelor's,9,75408,2,3.9,1,0,0,3
EMP-1023,47,Female,HR,HR Coordinator,Bachelor's,18,99491,5,4.8,1,0,0,3
EMP-1024,55,Female,Engineering,QA Engineer,Bachelor's,11,131057,2,4.3,4,0,0,10
EMP-1025,57,Female,Operations,Logistics Coordinator,PhD,20,87290,4,1.5,4,0,0,15
EMP-1026,47,Female,Finance,CFO,Master's,15,141580,3,4.6,4,0,0,1
EMP-1027,49,Female,Finance,Accountant,Bachelor's,16,105190,5,3.1,5,0,0,16
EMP-1028,27,Male,Finance,Financial Analyst,Bachelor's,2,113840,3,3.2,1,0,0,2
EMP-1029,41,Male,Operations,Logistics Coordinator,Bachelor's,4,98234,5,1.6,5,0,0,3
EMP-1030,45,Female,Sales,Sales Rep,Master's,11,83080,4,4.0,2,0,0,2
EMP-1031,45,Male,Finance,CFO,Bachelor's,16,103470,4,3.9,2,0,0,16
EMP-1032,35,Female,Sales,Sales Manager,Bachelor's,13,86015,3,1.8,5,0,0,6
EMP-1033,35,Female,Sales,Sales Rep,Bachelor's,13,75251,2,3.0,2,1,0,0
EMP-1034,36,Male,Operations,Supply Chain Analyst,Bachelor's,14,110775,4,4.7,2,0,0,8
EMP-1035,27,Female,Marketing,Marketing Analyst,Bachelor's,6,107988,5,3.7,4,0,0,2
EMP-1036,39,Female,Sales,Sales Manager,Master's,10,84945,3,4.4,5,0,0,2
EMP-1037,27,Female,Sales,Sales Manager,Master's,6,61736,1,5.0,3,0,0,3
EMP-1038,34,Female,HR,Recruiter,Master's,0,48340,3,4.6,4,0,0,0
EMP-1039,49,Male,Finance,Accountant,Bachelor's,8,70301,2,3.5,5,0,0,8
EMP-1040,36,Male,HR,HR Coordinator,Bachelor's,15,94181,5,1.0,2,0,0,4
EMP-1041,23,Male,Finance,Financial Analyst,Master's,0,90343,4,4.2,1,0,0,0
EMP-1042,56,Female,HR,HR Manager,Bachelor's,19,73733,3,4.9,5,0,0,18
EMP-1043,43,Female,HR,HR Coordinator,Master's,19,101577,4,1.4,3,1,0,13
EMP-1044,30,Male,Finance,Financial Analyst,Bachelor's,5,104477,3,1.2,4,0,0,5
EMP-1045,25,Female,Finance,Financial Analyst,Bachelor's,0,119107,2,4.1,2,0,0,0
EMP-1046,48,Female,Engineering,DevOps,Master's,17,147987,1,2.4,3,0,1,14
EMP-1047,51,Female,Engineering,DevOps,Bachelor's,6,100093,2,2.4,3,0,0,0
EMP-1048,52,Female,Finance,Financial Analyst,Master's,7,126870,2,4.7,5,0,0,6
EMP-1049,34,Male,Marketing,Content Strategist,Bachelor's,12,67370,2,3.4,3,0,0,1
EMP-1050,38,Female,Finance,Accountant,Bachelor's,5,78524,4,3.0,2,1,0,0
EMP-1051,56,Male,Finance,CFO,Bachelor's,10,126916,4,2.7,1,0,0,4
EMP-1052,27,Female,Operations,Supply Chain Analyst,Bachelor's,5,74922,1,2.0,5,0,0,2
EMP-1053,32,Female,Sales,Sales Manager,High School,0,83904,3,2.3,1,0,1,0
EMP-1054,52,Male,HR,HR Coordinator,Bachelor's,12,65893,1,4.4,3,1,0,7
EMP-1055,46,Female,Sales,Sales Manager,Bachelor's,13,83843,2,2.5,4,0,0,8
