date,year,month,quarter,region,category,product_name,salesperson_id,channel,quantity,unit_price,revenue,profit_margin,profit
2022-01-01,2022,1,Q1,South,Sports,Swim Goggles,SP_003,Direct Sales,5,65.07,325.37,0.517,168.22
2022-01-01,2022,1,Q1,Central,Sports,Yoga Mat,SP_023,Partner,7,66.27,463.91,0.423,196.23
2022-01-01,2022,1,Q1,East,Home & Garden,Robot Vacuum,SP_008,Direct Sales,12,127.65,1531.83,0.538,824.12
2022-01-01,2022,1,Q1,South,Clothing,T-Shirt Pack,SP_012,Online,2,62.78,125.56,0.178,22.35
2022-01-01,2022,1,Q1,South,Sports,Swim Goggles,SP_022,Partner,14,46.63,652.88,0.533,347.99
2022-01-02,2022,1,Q1,South,Electronics,Smart Watch,SP_024,Retail Store,9,536.36,4827.24,0.341,1646.09
2022-01-02,2022,1,Q1,West,Home & Garden,Coffee Maker,SP_029,Retail Store,1,146.23,146.23,0.218,31.88
2022-01-02,2022,1,Q1,Central,Home & Garden,Robot Vacuum,SP_018,Direct Sales,8,108.88,871.05,0.429,373.68
2022-01-02,2022,1,Q1,North,Sports,Swim Goggles,SP_028,Direct Sales,12,66.73,800.71,0.209,167.35
2022-01-03,2022,1,Q1,East,Clothing,T-Shirt Pack,SP_009,Retail Store,10,70.12,701.15,0.297,208.24
2022-01-03,2022,1,Q1,North,Electronics,Tablet,SP_011,Retail Store,10,565.78,5657.85,0.435,2461.16
2022-01-03,2022,1,Q1,East,Sports,Dumbbell Set,SP_018,Online,11,63.72,700.91,0.453,317.51
2022-01-03,2022,1,Q1,Central,Sports,Yoga Mat,SP_029,Retail Store,3,56.76,170.28,0.451,76.8
2022-01-03,2022,1,Q1,East,Food & Beverage,Protein Powder,SP_015,Direct Sales,4,30.75,122.99,0.41,50.43
2022-01-04,2022,1,Q1,North,Sports,Dumbbell Set,SP_002,Partner,10,44.0,440.0,0.174,76.56
2022-01-04,2022,1,Q1,South,Home & Garden,Garden Kit,SP_024,Partner,0,98.13,0.0,0.29,0.0
2022-01-04,2022,1,Q1,West,Sports,Yoga Mat,SP_006,Partner,14,66.33,928.62,0.515,478.24
2022-01-04,2022,1,Q1,South,Home & Garden,Garden Kit,SP_001,Retail Store,14,154.75,2166.55,0.438,948.95
2022-01-04,2022,1,Q1,West,Electronics,Wireless Earbuds,SP_014,Online,14,549.98,7699.75,0.456,3511.09
2022-01-04,2022,1,Q1,East,Clothing,T-Shirt Pack,SP_006,Direct Sales,0,53.58,0.0,0.398,0.0
2022-01-04,2022,1,Q1,Central,Food & Beverage,Coffee Blend,SP_020,Retail Store,11,31.63,347.9,0.273,94.98
2022-01-04,2022,1,Q1,Central,Home & Garden,Air Purifier,SP_020,Partner,2,137.25,274.49,0.154,42.27
2022-01-05,2022,1,Q1,South,Clothing,Running Shoes,SP_020,Direct Sales,9,81.38,732.4,0.537,393.3
2022-01-05,2022,1,Q1,South,Home & Garden,Coffee Maker,SP_026,Online,11,147.45,1621.96,0.208,337.37
2022-01-05,2022,1,Q1,East,Clothing,T-Shirt Pack,SP_022,Retail Store,14,58.91,824.69,0.537,442.86
2022-01-05,2022,1,Q1,South,Electronics,Laptop Pro,SP_028,Online,9,568.76,5118.85,0.535,2738.58
2022-01-06,2022,1,Q1,North,Sports,Yoga Mat,SP_027,Partner,2,47.36,94.71,0.317,30.02
2022-01-06,2022,1,Q1,Central,Sports,Swim Goggles,SP_003,Partner,0,64.45,0.0,0.491,0.0
2022-01-06,2022,1,Q1,Central,Sports,Swim Goggles,SP_029,Direct Sales,3,67.36,202.08,0.173,34.96
2022-01-06,2022,1,Q1,East,Food & Beverage,Energy Bars,SP_020,Retail Store,13,27.56,358.27,0.331,118.59
